Country,Year,GDP_per_capita,Crime_rate,Participation_rate
BRA,2003,3090.6068907839,28.2710884352715,66.899
BRA,2004,3663.82262497811,26.4918363852054,67.364
BRA,2005,4827.78165890291,25.7693915381983,68.05
BRA,2006,5934.14561857454,26.3403064568888,67.705
BRA,2007,7409.69003822861,25.3144591379199,67.295
BRA,2008,8908.33338467948,26.3359303856077,67.173
BRA,2009,8678.6584730653,26.7914479705158,67.401
BRA,2010,11403.2840038694,26.9945684769237,66.145
BRA,2011,13396.6263158041,26.7470983503833,64.87
BRA,2012,12521.7238454434,28.6413621085766,64.409
BRA,2013,12458.8903396625,28.6404106359245,64.314
BRA,2014,12274.9941630213,29.8537931807395,64.04
BRA,2015,8936.1955889444,28.8503019791216,64.275
BRA,2016,8836.28546025694,30.1193623667804,64.29
BRA,2017,10080.5078722821,31.1611756216413,64.525
BRA,2018,9300.66072904004,27.1606152370358,64.501
BRA,2019,9029.83304401079,21.2445602088385,64.887
BRA,2020,7074.19407495707,21.8129091470528,60.479
BRA,2021,7972.53696080695,20.5048626655709,62.456
BRA,2022,9281.33282136864,20.0811754127452,63.527
BRA,2023,10377.5897719195,19.2752957673079,62.915
BRA,2024,10310.5488778166,,62.704
DEU,2003,30711.1022511331,1.33598638063576,57.846
DEU,2004,34566.7359143735,1.3545661001062,57.458
DEU,2005,35084.4363546269,1.27244558514126,58.332
DEU,2006,36980.3349948954,1.20927315205162,58.997
DEU,2007,42350.9217211489,1.09227050411144,59.065
DEU,2008,46379.1647953479,1.02452477446076,59.087
DEU,2009,42471.8868625226,0.992150728625981,59.211
DEU,2010,42396.9665976293,0.981060169496516,59.312
DEU,2011,47630.9761883572,0.91271260058552,59.853
DEU,2012,44718.0159214069,0.814420905242925,59.958
DEU,2013,47206.8353514242,0.841543300830081,60.279
DEU,2014,48959.5991203133,0.87986543465844,60.378
DEU,2015,41929.7549110722,0.83092148321361,60.22
DEU,2016,42948.9381932694,1.163604165425,60.411
DEU,2017,45553.9341495339,0.97829217789703,60.659
DEU,2018,48916.1686612154,0.945201062768242,60.859
DEU,2019,47656.199739747,0.745579302641966,61.307
DEU,2020,47394.8734504469,0.935085587265765,60.478
DEU,2021,52349.2459994422,0.830375419597212,60.395
DEU,2022,50506.5179638543,0.815829208272123,60.929
DEU,2023,54776.7668235491,0.910722780231795,61.117
DEU,2024,56103.7323182554,,60.884
QAT,2003,31602.470865136,,82.925
QAT,2004,41035.5008380177,0.646552420853902,82.213
QAT,2005,53949.6764091147,0.726913675972171,82.493
QAT,2006,62582.4453138755,0.513963884785744,83.841
QAT,2007,65954.3419525051,0.744666327429784,85.327
QAT,2008,80781.4039187792,0.840961260769122,86.094
QAT,2009,60785.7351551657,0.504397876611039,86.492
QAT,2010,76462.6119486736,0.234023576120117,86.559
QAT,2011,103261.510293068,0.220878544410392,86.455
QAT,2012,108470.387023229,0.367046174933158,86.27
QAT,2013,103697.062789144,0.442773711639193,86.296
QAT,2014,95840.6898934238,0.405702920880718,86.747
QAT,2015,68985.2433380102,0.247185127859597,87.274
QAT,2016,61253.6217997091,0.461649967761444,87.475
QAT,2017,63279.8767486216,0.443342737741158,87.498
QAT,2018,71039.9308240078,0.362168986600472,87.503
QAT,2019,66841.3623185691,0.393149056031246,87.433
QAT,2020,51683.5681078949,0.428055468854506,87.105
QAT,2021,71751.9363398856,0.319717852547547,86.363
QAT,2022,88701.4689763536,0.0691454145354033,87.575
QAT,2023,81816.9797967481,0.1,87.55
QAT,2024,76688.6941743178,0.15,87.468
RUS,2003,2975.123046875,28.6458525438416,60.013
RUS,2004,4102.36474609375,27.039519153371,60.598
RUS,2005,5323.455078125,24.6448972080224,60.933
RUS,2006,6920.19970703125,20.0162456079663,61.238
RUS,2007,9101.2392578125,17.6400957311458,62.027
RUS,2008,11635.2841796875,12.6470810308557,62.544
RUS,2009,8562.82421875,12.2743494414076,62.664
RUS,2010,10674.990234375,11.5955549228756,62.681
RUS,2011,14305.33203125,11.2292273482455,62.962
RUS,2012,15401.8515625,11.2598822758413,62.987
RUS,2013,15941.4482421875,11.0875143078155,62.89
RUS,2014,14055.47265625,11.3961892650078,62.875
RUS,2015,9277.7138671875,11.4556968970425,62.75
RUS,2016,8663.158203125,10.8822499466091,62.912
RUS,2017,10658.9130859375,9.09316032017364,62.523
RUS,2018,11211.8876953125,8.17044875503453,62.484
RUS,2019,11447.701171875,7.64469087376708,61.73
RUS,2020,10108.3271484375,7.30812673633554,61.422
RUS,2021,12425.029296875,6.76512531955806,62.005
RUS,2022,15619.6142578125,,61.936
RUS,2023,14159.3876953125,,61.689
RUS,2024,14889.0185546875,,61.075
ZAF,2003,4062.21755993786,40.8739335231162,60.587
ZAF,2004,5221.46333731721,38.3597777084255,60.325
ZAF,2005,5836.87663325127,37.4378416502353,60.117
ZAF,2006,6077.38293388876,38.213316830898,59.948
ZAF,2007,6591.85535960564,36.4150322955323,59.802
ZAF,2008,6184.75474328399,35.379325145242,59.688
ZAF,2009,6374.70560042992,32.4134564386112,58.059
ZAF,2010,7973.47195771517,30.3625716702744,54.171
ZAF,2011,8646.05571071635,29.3498251398405,56.169
ZAF,2012,8076.97678479741,30.1454561488805,55.959
ZAF,2013,7331.65467384919,31.132729039924,56.219
ZAF,2014,6856.73137092522,32.026354388996,56.093
ZAF,2015,6112.27382485974,32.9193156001477,57.693
ZAF,2016,5651.20585165749,33.2101800798263,57.965
ZAF,2017,6618.33508255701,35.2840163787516,58.775
ZAF,2018,6914.1780318076,35.8657632618552,58.131
ZAF,2019,6533.71121032856,35.7874756270719,58.327
ZAF,2020,5580.60383075189,32.9775673780065,54.701
ZAF,2021,6828.75624590017,40.9429825270973,55.76
ZAF,2022,6534.24867783397,43.7202551331462,56.942
ZAF,2023,6034.27208964673,,58.528
ZAF,2024,6267.186814093,,58.529
