Country,Year,Infra_invest_%GDP,Urban_population_%,Internet_users_%,Mobile_subscriptions
BRA,2003,16.8566883977988,82.3540335841671,13.2076,25.6741
BRA,2004,17.9125683419391,82.6816824814559,19.0737,35.9135
BRA,2005,17.2048834481574,82.9838799596945,21.0227,46.6789
BRA,2006,17.8164738802739,83.2672101364439,28.1784,53.5317
BRA,2007,19.8193259823578,83.5382571292649,30.88,64.1626
BRA,2008,21.6193828522601,83.8036050557184,33.83,79.132
BRA,2009,18.7961350295102,84.0698380333651,39.22,88.1849
BRA,2010,21.801321557926,84.343846036308,40.65,101.667
BRA,2011,21.826271117187,84.6225758599683,45.69,120.008
BRA,2012,21.4172253693275,84.8973874181312,48.56,126.132
BRA,2013,21.6937669560679,85.1676585442726,51.04,136.589
BRA,2014,20.5484107558184,85.4331367898168,54.551,140.305
BRA,2015,17.4116258667237,85.6935697061881,58.328,127.836
BRA,2016,14.9695469727335,85.9487048448108,60.8725,120.101
BRA,2017,14.6255875977741,86.1982897571091,67.4713,108.093
BRA,2018,15.0950416297894,86.4420719945072,70.4343,101.602
BRA,2019,15.5167908016709,86.6797991084296,73.9124,97.3747
BRA,2020,16.1158206044059,86.9112186503004,81.3427,98.6456
BRA,2021,19.521885020934,87.1360781715439,80.6899,104.825
BRA,2022,18.0882204442791,87.349556243881,80.5278,101.245
BRA,2023,15.7606472061782,87.6159710235763,84.1506,101.02
BRA,2024,16.9814356039822,87.8958549533146,84.4635,
DEU,2003,19.5766263092364,80.1373116303862,55.9,78.917
DEU,2004,19.0213864564072,80.1549694901257,64.73,86.8798
DEU,2005,18.7355259254163,80.1745168510383,68.71,96.6169
DEU,2006,19.897946566207,80.1960996098884,72.16,104.835
DEU,2007,20.7873433455798,80.2198636634402,75.16,118.37
DEU,2008,20.8867329914107,80.2459549084581,78.0,130.097
DEU,2009,18.0064315128089,80.2745192417062,79.0,129.733
DEU,2010,19.5310600093299,80.305702559949,82.0,109.364
DEU,2011,21.2669872693317,80.3405762928198,81.27,112.419
DEU,2012,19.4724714926695,80.393447520218,82.35,114.192
DEU,2013,19.7883815690324,80.4732318400362,84.17,123.435
DEU,2014,20.139488753447,80.57574023743,86.1937,122.309
DEU,2015,19.4978020945699,80.6974371632814,87.5898,117.401
DEU,2016,19.7122567843741,80.8347870684725,84.1652,125.024
DEU,2017,20.6909762954118,80.9842544038853,84.3942,132.003
DEU,2018,21.6503641494105,81.1423036204018,87.0371,128.946
DEU,2019,21.381259046499,81.3053991689039,88.1345,128.292
DEU,2020,21.7290304632077,81.4700055002738,89.8129,128.425
DEU,2021,22.6730557200041,81.6325870653934,91.4306,127.125
DEU,2022,23.2760146288029,81.7867852780995,91.6298,124.158
DEU,2023,21.994283425489,81.9034366692129,92.4764,124.663
DEU,2024,21.4994328905028,82.0211432579125,93.5,
QAT,2003,34.8656946406266,96.8311182064009,19.2423,50.5632
QAT,2004,31.5110118429254,97.0472579559041,20.7016,63.4052
QAT,2005,34.3078887785256,97.3016654918171,24.7335,86.8374
QAT,2006,41.8887149103609,97.5827378795062,28.9741,94.546
QAT,2007,46.0165706250517,97.8663125111735,37.0,104.601
QAT,2008,41.1179671245022,98.1295193937322,44.3,100.179
QAT,2009,42.9640491480002,98.3494885340955,53.1,122.869
QAT,2010,31.6551222991847,98.5066232166665,69.0,127.92
QAT,2011,29.0318354942345,98.6300610210909,69.0,127.128
QAT,2012,27.1443989918744,98.7428010471968,69.3,136.395
QAT,2013,27.8278903298317,98.8357621827901,85.3,162.86
QAT,2014,31.790053219975,98.901627838826,91.49,149.02
QAT,2015,37.067203825843,98.9382407681154,92.8848,154.098
QAT,2016,48.8690827894008,98.9855265345423,95.1247,140.518
QAT,2017,42.6113473715086,99.0310125265978,97.3888,147.358
QAT,2018,40.6590534659993,99.0755684762244,99.6528,142.911
QAT,2019,43.7353659391394,99.1191696672067,99.6528,140.017
QAT,2020,43.8491508547382,99.1617913833034,99.6528,135.498
QAT,2021,36.8015347930758,99.203408908243,99.6528,137.71
QAT,2022,30.643232538678,99.243997525719,99.6528,162.249
QAT,2023,,99.2835325193835,99.6528,157.821
QAT,2024,,99.3219891728394,,
RUS,2003,20.8589584807348,73.4057388305664,8.29886,24.785
RUS,2004,20.9012750797344,73.3065795898438,12.8594,50.7798
RUS,2005,20.0774969178103,73.1613922119141,15.2267,82.9888
RUS,2006,21.1715918033474,73.2439193725586,18.0233,104.56
RUS,2007,24.1645140334655,73.3856048583984,24.66,119.005
RUS,2008,25.5012197086864,73.4822463989258,32.0,138.738
RUS,2009,18.9263757354968,73.5288696289062,42.55,159.902
RUS,2010,22.6150505519736,73.6696307887624,49.0,165.137
RUS,2011,24.2607379312639,73.8534851074219,58.0,141.451
RUS,2012,24.5536933545168,73.97265625,66.0,144.198
RUS,2013,23.2716819870194,74.0762949770228,67.97,150.964
RUS,2014,22.3908642287739,74.1776476748791,70.5176,152.513
RUS,2015,22.148725318159,74.275919065527,70.0992,156.419
RUS,2016,23.0954224731096,74.3703138709243,73.0914,157.174
RUS,2017,23.6067558621651,74.460036813029,76.0081,155.486
RUS,2018,21.9180891512463,74.5442926137992,80.8647,156.683
RUS,2019,22.6615137722235,74.6222859951926,82.6422,163.646
RUS,2020,23.4558291480158,74.6932216791674,84.9947,163.101
RUS,2021,23.0093392226061,74.7516840220252,88.2138,169.073
RUS,2022,23.2028710254613,74.8544893625017,90.418,168.476
RUS,2023,27.0076136288036,74.9805047873279,92.245,180.842
RUS,2024,26.2988564685306,75.1119136177067,94.365,
ZAF,2003,15.6571145272722,58.3724341232066,7.00769,34.7626
ZAF,2004,16.9603513170499,59.0977390950102,8.42512,42.536
ZAF,2005,16.8318153447643,59.8241758378997,7.48854,68.6198
ZAF,2006,18.4902026867601,60.5276465215157,7.60714,79.3267
ZAF,2007,19.3259650755187,61.1840533154988,8.06538,83.715
ZAF,2008,21.2872491181391,61.7692983894896,8.43,88.0375
ZAF,2009,18.7669441984248,62.2592839131287,10.0,89.7687
ZAF,2010,17.5956446037105,62.6299120560569,24.0,96.2325
ZAF,2011,18.8532376550132,62.850627754452,33.97,120.766
ZAF,2012,18.5845354435045,62.9616560303263,41.0,127.168
ZAF,2013,19.1687625943111,63.0524024097034,46.5,140.576
ZAF,2014,18.4879638168327,63.1352327065742,49.0,142.604
ZAF,2015,18.6332066638376,63.2096349937231,51.9191,155.138
ZAF,2016,16.9604522948246,63.2750973439347,54.0,143.929
ZAF,2017,16.6107340612402,63.3311078299936,56.1674,153.548
ZAF,2018,16.1705829786619,63.3771545246841,62.4,157.692
ZAF,2019,15.8207933783179,63.4127255007908,69.6969,162.739
ZAF,2020,12.3455441478462,63.4373088310982,72.1128,158.447
ZAF,2021,12.8355522251838,63.4503925883909,74.9686,163.128
ZAF,2022,15.6721092997041,63.4766699210327,75.4556,160.729
ZAF,2023,15.3913174995668,63.5823705163545,75.6592,171.509
ZAF,2024,14.0695508769888,63.6917984858172,,
